City State Population PopChange PopDens Under5 Over65 Asian Black Hispanic Birth InfantD CarD HeartD Income Poverty Unemploy Grants BankpP HousepP
Kansas_City__MO_KS_MSA MO 1709273 8 316.1 7.2 11.4 1.4 13.3 3.5 14.4 7.6 14 338.5 22642 12.4 4.1 4662 10753.4 40
Killeen_Temple__TX_MSA TX 299740 17.4 142 9.1 8.2 4.1 19.7 14.9 21.3 6.2 16.5 310.1 15552 15.4 4.8 8859 4524.3 32.8
Knoxville__TN_MSA TN 654181 11.6 267.1 6.3 13.4 1.1 6.4 0.8 12.6 5 21 349.8 19963 15.4 4.2 7102 9251.7 42.5
Kokomo__IN_MSA IN 99981 3.1 180.6 6.7 12.3 0.7 5 1.6 13.7 8.1 15.2 374.8 21814 11.4 3.6 3433 8538.6 31.4
La_Crosse__WI_MN_MSA WI 121507 4.4 120.2 6.4 13.4 3.1 0.5 0.8 13.1 3.2 16.1 327 20084 11 3.1 3266 7895 35.6
Lafayette__LA_MSA LA 372027 7.8 143.4 8.1 10.4 0.8 29.1 1.4 16.4 11 20.4 316.6 16551 23.8 6 3686 8188.9 20.8
Lafayette__IN_MSA IN 171539 6.2 189.6 6.5 10.8 3.7 1.8 2 13.3 7.2 12.8 330.1 18988 11.5 2.9 3194 9949.9 42.2
Lake_Charles__LA_MSA LA 178874 6.4 167 7.3 11.3 0.5 24.7 1.3 16 9 19.9 351.6 17933 19.1 6.2 4120 6729.9 31.8
Lakeland_Winter_Haven__FL_MSA FL 448646 10.7 239.3 7 18.5 0.9 15.4 5.3 14.4 10.2 26.3 431.1 17833 17.9 6.6 3971 7799.7 40.2
Lancaster__PA_MSA PA 454063 7.4 478.4 7.5 13.5 1.5 3 4.7 15.6 5.5 12.7 362.9 21811 9.6 3.3 3153 10694.6 37.4
Lansing_East_Lansing__MI_MSA MI 447349 3.4 262 6.9 9.5 2.5 7.9 4.6 13.5 8.3 14.2 263.4 20747 12 3.7 5669 6727.4 29
Laredo__TX_MSA TX 183219 37.5 54.6 11 8.6 0.5 0.2 94.9 29.9 6.1 14.8 185.5 11287 36.1 12.7 3198 13911.8 54.2
Las_Cruces__NM_MSA NM 168470 24.3 44.2 8.5 9.1 1.2 1.9 57.6 19.9 5.5 18.4 195.5 13696 30 10.2 5708 4634.1 36.2
Las_Vegas__NV_AZ_MSA NV 1262099 48 32.1 7.6 12.3 4.2 9.1 14.1 16.8 7.5 18.8 303.2 22338 12.9 5.5 4630 6426.9 134.8
Lawrence__KS_MSA KS 91093 11.4 199.3 6 8.3 3.7 4.3 3.4 12.8 7.2 10.7 200.2 16791 13.6 4.9 2940 5864.3 79.8
Lawton__OK_MSA OK 113957 2.2 106.6 8.4 8.9 3.4 17.9 8 18.5 7.1 19.9 277.5 15088 17.3 4.6 9504 4681.6 11.1
Lewiston_Auburn__ME_NECMA ME 101045 -4 214.9 6.1 14.2 0.7 0.6 1 11.9 9.8 12.5 414.7 19009 14.5 5.7 4166 8227 17.6
Lexington__KY_MSA KY 444073 9.4 231.3 6.6 10.3 1.4 10.1 1 13.9 7.4 14.1 306 20162 16.2 2.8 4139 9146.5 54
Lima__OH_MSA OH 154944 0.4 192.3 7.1 13.9 0.6 8.7 1.2 13.7 6.1 18.6 404.8 18865 11.7 6.1 4671 11458.3 20.9
Lincoln__NE_MSA NE 233319 9.2 278.1 6.5 10.8 2.3 2.4 3 13.8 7 8.6 281.6 21174 9 2.6 4762 10018.5 55.4
Little_Rock_North_Little_Rock__AR_MSA AR 552194 7.6 189.8 7.3 10.9 0.8 20.8 1.5 15 9.3 17.3 312.2 19988 15.2 3.8 5461 9915.5 29.7
Longview_Marshall__TX_MSA TX 208250 7.5 118.3 7 13.9 0.5 21.7 3.6 14.1 7.7 25.8 404 18340 18.6 7.7 3678 8442.3 9.4
Los_Angeles_Riverside_Orange_County__CA_CMSA CA 15608886 7.4 459.5 9 10.2 11.1 8.4 37.8 19.5 6.9 13.5 283.8 21542 19.9 7.3 4220 7702.2 17.3
Louisville__KY_IN_MSA KY 993369 4.7 479.4 6.6 12.4 0.8 13 0.8 14 9.2 12.9 386.7 22080 15 4.4 4383 12164.3 39.1
Lubbock__TX_MSA TX 230672 3.6 256.4 7.9 10.2 1.7 8.3 26.8 16.5 5.8 15.1 306.3 18635 21 3.9 3826 10491.1 22
Lynchburg__VA_MSA VA 207426 7 115.8 6.2 14.8 0.6 19.5 0.8 13.2 12.7 17.1 412.4 18824 13.3 3.7 4666 8856.2 34.9
Macon__GA_MSA GA 316077 8.6 206.3 7.5 10.6 1 38 1.5 15.5 16 14.4 370 18600 19.3 4.8 6928 7726.9 41.4
Madison__WI_MSA WI 397511 8.3 330.7 6.3 9.4 3.1 3.5 2.1 12.4 7.4 11 242.8 24435 8.4 1.7 5539 9877.2 58.1
Mansfield__OH_MSA OH 174851 0.5 194.4 6.4 13.8 0.5 6.8 0.8 13 8.8 13.1 424.5 17889 13.1 6.1 3694 8430 16.4
McAllen_Edinburg_Mission__TX_MSA TX 510922 33.2 325.6 10.3 10 0.4 0.3 87.3 27.4 5.1 20.8 190.4 10347 41.1 19 3251 6254.8 41.9
Medford_Ashland__OR_MSA OR 170960 16.8 61.4 6.3 15.7 1.2 0.3 5.7 12.3 9.5 17.5 343.4 18888 14.4 8.3 3994 7043.2 55.8
